id,shape_type,display_name,category,subcategory,description,source,priority,seo_keywords,canonical_url,base_energy,asset_value_usd,mint_status,onchain_token_id,erc20_contract_address,morph_parameters,last_morph_at,is_active
10,babylonian_sagittarius_pabilsag,Babylonian Sagittarius Pabilsag,Babylonian Zodiac,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
11,babylonian_capricorn_goat_fish,Babylonian Capricorn Goat Fish,Babylonian Zodiac,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
12,babylonian_aquarius_water_bearer,Babylonian Aquarius Water Bearer,Babylonian Zodiac,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
13,babylonian_pisces_fish_string,Babylonian Pisces Fish String,Babylonian Zodiac,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
14,qubit,Qubit,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
15,hadamard_gate,Hadamard Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
16,pauli_x_gate,Pauli X Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
17,pauli_y_gate,Pauli Y Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
18,pauli_z_gate,Pauli Z Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
19,cnot_gate,Cnot Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
20,toffoli_gate,Toffoli Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
21,fredkin_gate,Fredkin Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
22,swap_gate,Swap Gate,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
23,controlled_phase,Controlled Phase,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
24,quantum_fourier_transform,Quantum Fourier Transform,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
25,grover_oracle,Grover Oracle,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
26,shor_factoring,Shor Factoring,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
27,vqe_circuit,Vqe Circuit,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
28,qaoa_circuit,Qaoa Circuit,Quantum Computing,,,,,,,,30.681600,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
29,hyper_lattice_shard_29,Hyper Lattice Shard #29,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
30,hyper_lattice_shard_30,Hyper Lattice Shard #30,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
31,hyper_lattice_shard_31,Hyper Lattice Shard #31,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
32,hyper_lattice_shard_32,Hyper Lattice Shard #32,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
33,hyper_lattice_shard_33,Hyper Lattice Shard #33,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
34,hyper_lattice_shard_34,Hyper Lattice Shard #34,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
35,hyper_lattice_shard_35,Hyper Lattice Shard #35,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
36,hyper_lattice_shard_36,Hyper Lattice Shard #36,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
37,hyper_lattice_shard_37,Hyper Lattice Shard #37,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
38,hyper_lattice_shard_38,Hyper Lattice Shard #38,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
39,hyper_lattice_shard_39,Hyper Lattice Shard #39,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
40,hyper_lattice_shard_40,Hyper Lattice Shard #40,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
41,hyper_lattice_shard_41,Hyper Lattice Shard #41,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
42,hyper_lattice_shard_42,Hyper Lattice Shard #42,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
43,hyper_lattice_shard_43,Hyper Lattice Shard #43,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
44,hyper_lattice_shard_44,Hyper Lattice Shard #44,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
45,hyper_lattice_shard_45,Hyper Lattice Shard #45,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
46,hyper_lattice_shard_46,Hyper Lattice Shard #46,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
47,hyper_lattice_shard_47,Hyper Lattice Shard #47,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
48,hyper_lattice_shard_48,Hyper Lattice Shard #48,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
49,hyper_lattice_shard_49,Hyper Lattice Shard #49,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
50,hyper_lattice_shard_50,Hyper Lattice Shard #50,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
51,hyper_lattice_shard_51,Hyper Lattice Shard #51,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
52,hyper_lattice_shard_52,Hyper Lattice Shard #52,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
53,hyper_lattice_shard_53,Hyper Lattice Shard #53,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
54,hyper_lattice_shard_54,Hyper Lattice Shard #54,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
55,hyper_lattice_shard_55,Hyper Lattice Shard #55,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
56,hyper_lattice_shard_56,Hyper Lattice Shard #56,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
57,hyper_lattice_shard_57,Hyper Lattice Shard #57,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
58,hyper_lattice_shard_58,Hyper Lattice Shard #58,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
59,hyper_lattice_shard_59,Hyper Lattice Shard #59,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
60,hyper_lattice_shard_60,Hyper Lattice Shard #60,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
61,hyper_lattice_shard_61,Hyper Lattice Shard #61,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
62,hyper_lattice_shard_62,Hyper Lattice Shard #62,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
63,hyper_lattice_shard_63,Hyper Lattice Shard #63,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
64,hyper_lattice_shard_64,Hyper Lattice Shard #64,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
65,hyper_lattice_shard_65,Hyper Lattice Shard #65,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
66,hyper_lattice_shard_66,Hyper Lattice Shard #66,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
67,hyper_lattice_shard_67,Hyper Lattice Shard #67,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
68,hyper_lattice_shard_68,Hyper Lattice Shard #68,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
69,hyper_lattice_shard_69,Hyper Lattice Shard #69,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
70,hyper_lattice_shard_70,Hyper Lattice Shard #70,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
71,hyper_lattice_shard_71,Hyper Lattice Shard #71,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
72,hyper_lattice_shard_72,Hyper Lattice Shard #72,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
73,hyper_lattice_shard_73,Hyper Lattice Shard #73,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
74,hyper_lattice_shard_74,Hyper Lattice Shard #74,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
75,hyper_lattice_shard_75,Hyper Lattice Shard #75,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
76,hyper_lattice_shard_76,Hyper Lattice Shard #76,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
77,hyper_lattice_shard_77,Hyper Lattice Shard #77,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
78,hyper_lattice_shard_78,Hyper Lattice Shard #78,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
79,hyper_lattice_shard_79,Hyper Lattice Shard #79,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
80,hyper_lattice_shard_80,Hyper Lattice Shard #80,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
81,hyper_lattice_shard_81,Hyper Lattice Shard #81,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
82,hyper_lattice_shard_82,Hyper Lattice Shard #82,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
83,hyper_lattice_shard_83,Hyper Lattice Shard #83,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
84,hyper_lattice_shard_84,Hyper Lattice Shard #84,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
85,hyper_lattice_shard_85,Hyper Lattice Shard #85,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
86,hyper_lattice_shard_86,Hyper Lattice Shard #86,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
87,hyper_lattice_shard_87,Hyper Lattice Shard #87,Hyper-Dimensional Grid,,,,,,,77390523246093750000000000000000.000000,793.124912,success,,,"{""p2_amp"": ""10.000000"", ""p4_res"": ""2.000000"", ""p1_freq"": ""1.000000"", ""p3_spin"": ""0.100000""}",,t
